States,X,Y
Andhra Pradesh,-62,-142
Arunachal Pradesh,234,160
Assam,205,112
Bihar,66,94
Chhattisgarh,-18,-10
Goa,-175,-140
Gujarat,-220,36
Haryana,-127,167
Himachal Pradesh,-106,227
Jharkhand,52,41
Karnataka,-146,-148
Kerala,-129,-242
Madhya Pradesh,-99,33
Maharashtra,-155,-55
Manipur,231,79
Meghalaya,165,94
Mizoram,213,45
Nagaland,241,111
Odisha,49,-17
Punjab,-142,203
Rajasthan,-182,117
Sikkim,116,137
Tamil Nadu,-81,-237
Telangana,-71,-84
Tripura,185,54
Uttar Pradesh,-29,115
Uttarakhand,-70,192
West Bengal,107,36
